brand,name,price,link
Infinix ,"Hot S4, 6.2"", 32GB + 3GB (Dual SIM), Blue","13,999",https://www.jumia.co.ke/infinix-hot-s4-6.2-32gb-3gb-dual-sim-blue-18689186.html
Oukitel ,"C12 Pro, 6.18"" ,16GB + 2GB RAM, (Dual SIM) Gold","7,875",https://www.jumia.co.ke/c12-pro-6.18-16gb-2gb-ram-dual-sim-4g-gold-oukitel-mpg129567.html
Infinix ,"SMART 2 - 5.5"" - 13MP - 16GB - 1GB - FingerPrint - 4G LTE Dual SIM - Black","7,399",https://www.jumia.co.ke/smart-2-13mp-16gb-1gb-fingerprint-5.5-4g-lte-dual-sim-black-infinix-mpg120554.html
TECNO ,"Spark 2, 16GB+1GB (Dual SIM) Bordeaux Red","9,299",https://www.jumia.co.ke/spark-2-16gb-1gb-ram-13mp-camera-dual-sim-bordeaux-red-tecno-mpg110725.html
,,,
Nokia ,1 - 8GB - 1GB RAM - Dual SIM - Dark Blue,"5,349",https://www.jumia.co.ke/1-8gb-1gb-ram-dual-sim-dark-blue-nokia-mpg123346.html
Ulefone ,S7 - 8GB - 1GB RAM (8MP+5 MP) Camera - Dual Sim - 3G - Black,"4,799",https://www.jumia.co.ke/s7-8gb-1gb-ram-8mp5-mp-camera-dual-sim-3g-black-ulefone-mpg135374.html
Samsung ,"Galaxy A30 - 64GB Rom - 4GB Ram, 4000mAh, Dual SIM 4G -Blue","19,599",https://www.jumia.co.ke/galaxy-a30-64gb-rom-4gb-ram-4000mah-dual-sim-4g-blue-samsung-mpg151714.html
Huawei ,"Y5 Prime 2018, 5.45"", 16GB+2GB, (Dual SIM), Black.","9,199",https://www.jumia.co.ke/y5-prime-2018-5.45-16gb-2gb-ram-13mp-camera-4g-dual-sim-black-huawei-mpg124392.html
Nokia ,"nokia 106 (2018) - 1.8"" -Dual Sim , Dark Grey","1,667",https://www.jumia.co.ke/nokia-106-2018-1.8-dual-sim-dark-grey-nokia-mpg131583.html
,,,
Nokia ,"2.1, 5.5"" (8GB+1GB RAM) 8MP Camera, Dual SIM (4G) - Blue Copper","7,599",https://www.jumia.co.ke/2.1-5.5-8gb1gb-ram-8mp-camera-dual-sim-4g-blue-copper-nokia-mpg116388.html
Samsung ,"Galaxy J4 Core, 16GB+1GB  (Dual SIM), Black","8,381",https://www.jumia.co.ke/galaxy-j4-core-16gb1gb-dual-sim-black-samsung-mpg149438.html
Samsung ,"Galaxy A2 Core, 5.0"", 16GB + 1GB (Dual SIM), Blue","7,490",https://www.jumia.co.ke/galaxy-a2-core-5.0-16gb-1gb-dual-sim-blue-samsung-mpg162809.html
Huawei ,"Y9 (2019), 64GB + 4GB, 4G (Dual SIM), Blue + Surprise Gift","20,499",https://www.jumia.co.ke/y9-2019-6.5-64gb-4gb-ram-16mp2mp-dual-camera-4g-dual-sim-blue-suprise-gift.-huawei-mpg147068.html
OPPO ,"A5s - 32GB Rom - 2GB Ram, 6.2"", 4230mAh, Dual SIM 4G - Black","14,399",https://www.jumia.co.ke/oppo-a5s-32gb-rom-2gb-ram-6.2-4230mah-dual-sim-4g-black-17002930.html
,,,
Xiaomi ,"Redmi Note 6 Pro, 6.26"" (4GB RAM + 64GB) - (12.0MP + 5.0MP) Dual Camera (Dual SIM) 4G - Black","19,799",https://www.jumia.co.ke/redmi-note-6-pro-4g-phablet-6.26-inch-4gb-ram-64gb-rom-dual-sim-black.-xiaomi-mpg131857.html
Xiaomi ,"Redmi 6A, 5.45"", 32GB+2GB RAM, 13MP, (Dual SIM), 4G - Black","9,818",https://www.jumia.co.ke/redmi-6a-5.45-32gb2gb-ram-13-mp-camera-dual-sim-4g-black-xiaomi-mpg150046.html
HTC ,"U Ultra, 64GB + 4GB (Dual SIM), White","13,999",https://www.jumia.co.ke/htc-u-ultra-64gb-4gb-dual-sim-white-17261023.html
Apple ,"iPhone 4S, 3.5'', 16GB + 512MB RAM (Refrb Phone), Single SIM - Black","4,490",https://www.jumia.co.ke/apple-iphone-4s-3.5-16gb-512mb-ram-refrb-phone-single-sim-black-12378607.html
ZEE ,"Z10 - 5.0"" - 1GB RAM - 8GB ROM - 4G - 5MP (DUAL SIM), Black","3,999",https://www.jumia.co.ke/z10-5.0-1gb-ram-8gb-rom-4g-5mp-dual-sim-black-generic-mpg132941.html
,,,
